outer_fold,combo,inner_delta,n_test
0,"('step', 'norm', 30, 4)",0.005993004132593294,392
1,"('step', 'pca1', 30, 3)",0.003486267006743371,397
2,"('step', 'pca1', 30, 3)",0.015267941189130774,393
3,"('step', 'cos_step', 20, 4)",0.030027757969958158,512
4,"('step', 'cos_step', 20, 4)",0.024055210276205385,508
