seg,proj,N,d,n_traj,n_tasks,auroc_base,auroc_chaos,auroc_full,delta_auroc,delta_ci_low,delta_ci_high,spearman_H_nfrag,frac_tasks_signif,median_effect_size,n_dropped_nan,n_fail,n_succ,base_cols,pr_auc_base,prec10_base,auroc_pooled_base,pr_auc_chaos,prec10_chaos,auroc_pooled_chaos,pr_auc_full,prec10_full,auroc_pooled_full,p_boot,spearman_H_nsteps_total,spearman_H_nsteps_prefix,frac_seen_median,n_tasks_both,majority_sign_share,share_positive,n_tasks_3each,frac_tasks_signif_3each,median_effect_size_3each,n_tasks_both_C,frac_tasks_signif_C,median_effect_size_C,majority_sign_share_C,share_positive_C,n_tasks_3each_C,frac_tasks_signif_3each_C,median_effect_size_3each_C,q_bh
step,cos_step,20,3,2545,500,0.5,0.4900227893644303,0.4900227893644303,-0.009977210635569722,-0.03047223015075738,0.013408412906508968,-0.01235818565133113,0.0,-0.11111111111111116,0,1009,1536,,0.3964511174098871,0.6852187028657617,0.488589994734886,0.3912930835792868,0.36998491704374054,0.4797247945573175,0.3912930835792868,0.36998491704374054,0.4797247945573175,0.7962037962037962,-0.01235818565133113,,0.46511627906976744,212,0.5714285714285714,0.42857142857142855,16,0.0,-0.33333333333333337,212,0.0,0.11111111111111116,0.5691489361702128,0.5691489361702128,16,0.0,0.33333333333333326,0.8331668331668332
step,cos_step,20,4,2545,500,0.5,0.5232867475730572,0.5232867475730572,0.023286747573057154,-0.0010623265761180532,0.04447712722213949,0.0068346322562639755,0.0,-0.14583333333333331,0,1009,1536,,0.3964511174098871,0.6852187028657617,0.488589994734886,0.4197654460304688,0.4475867269984917,0.5158388952552032,0.4197654460304688,0.4475867269984917,0.5158388952552032,0.03296703296703297,0.0068346322562639755,,0.46511627906976744,212,0.5894736842105264,0.4105263157894737,16,0.0,-0.22222222222222227,212,0.0,0.18333333333333335,0.6,0.6,16,0.0,0.2222222222222222,0.22777222777222778
step,cos_step,30,3,2011,500,0.5,0.5034241108651358,0.5034241108651358,0.003424110865135832,-0.019647240359212913,0.02861099727747512,0.01268159516445612,0.0,0.0,0,849,1162,,0.4221196729528712,0.8483333333333333,0.48400771181647334,0.43061028563426645,0.4069047619047619,0.4885138737686739,0.43061028563426645,0.4069047619047619,0.4885138737686739,0.3866133866133866,0.01268159516445612,,0.6,187,0.5419354838709678,0.45806451612903226,8,0.0,-0.2777777777777778,187,0.0,0.0,0.5454545454545454,0.5454545454545454,8,0.0,0.2222222222222222,0.6247086247086248
step,cos_step,30,4,2011,500,0.5,0.5067277674369001,0.5067277674369001,0.006727767436900067,-0.018060810281969177,0.031020813801472452,0.011101085378047819,0.0,-0.11111111111111116,0,849,1162,,0.4221196729528712,0.8483333333333333,0.48400771181647334,0.43363369191904083,0.4364285714285715,0.4913176177704255,0.43363369191904083,0.4364285714285715,0.4913176177704255,0.2987012987012987,0.011101085378047819,,0.6,187,0.5889570552147239,0.4110429447852761,8,0.0,-0.11111111111111116,187,0.0,0.0,0.58125,0.58125,8,0.0,0.0,0.6247086247086248
step,norm,20,3,2545,500,0.5,0.48875997060810555,0.48875997060810555,-0.011240029391894446,-0.031216482685713157,0.011579933771873373,-0.009655276656198001,0.0,-0.11111111111111116,0,1009,1536,,0.3964511174098871,0.6852187028657617,0.488589994734886,0.3907025976773391,0.3699849170437406,0.47940927485959695,0.3907025976773391,0.3699849170437406,0.47940927485959695,0.8331668331668332,-0.009655276656198001,,0.46511627906976744,212,0.5661375661375662,0.43386243386243384,16,0.0,-0.33333333333333337,212,0.0,0.05555555555555558,0.5638297872340425,0.5638297872340425,16,0.0,0.33333333333333326,0.8331668331668332
step,norm,20,4,2545,500,0.5,0.521957766365086,0.521957766365086,0.02195776636508595,-0.0019387809374301487,0.04244318132785103,0.009772209541726841,0.0,-0.125,0,1009,1536,,0.3964511174098871,0.6852187028657617,0.488589994734886,0.41798591220014236,0.4322021116138764,0.5157217851833499,0.41798591220014236,0.4322021116138764,0.5157217851833499,0.03796203796203796,0.009772209541726841,,0.46511627906976744,212,0.5842105263157895,0.41578947368421054,16,0.0,-0.11111111111111116,212,0.0,0.16666666666666674,0.6,0.6,16,0.0,0.11111111111111116,0.22777222777222778
step,norm,30,3,2011,500,0.5,0.5032826835876639,0.5032826835876639,0.003282683587663926,-0.019142447835739065,0.0286472292270469,0.01231838299338678,0.0,0.0,0,849,1162,,0.4221196729528712,0.8483333333333333,0.48400771181647334,0.43038657643910544,0.406904761904762,0.4895918859689135,0.43038657643910544,0.406904761904762,0.4895918859689135,0.39760239760239763,0.01231838299338678,,0.6,187,0.5419354838709678,0.45806451612903226,8,0.0,-0.2777777777777778,187,0.0,0.0,0.5454545454545454,0.5454545454545454,8,0.0,0.2222222222222222,0.6247086247086248
step,norm,30,4,2011,500,0.5,0.5069443571468948,0.5069443571468948,0.006944357146894786,-0.017507304932309585,0.031275751702155276,0.011982736449330966,0.0,-0.11111111111111116,0,849,1162,,0.4221196729528712,0.8483333333333333,0.48400771181647334,0.43321759350075534,0.4364285714285715,0.49171091230140146,0.43321759350075534,0.4364285714285715,0.49171091230140146,0.2967032967032967,0.011982736449330966,,0.6,187,0.5889570552147239,0.4110429447852761,8,0.0,-0.11111111111111116,187,0.0,0.0,0.58125,0.58125,8,0.0,0.0,0.6247086247086248
step,pca1,20,3,2545,500,0.5,0.49915790114975345,0.49915790114975345,-0.0008420988502465532,-0.022737248769946553,0.021263626899165677,0.026706583715705175,0.0,-0.11805555555555558,0,1009,1536,,0.3964511174098871,0.6852187028657617,0.488589994734886,0.4062655908441726,0.435972850678733,0.4854506060042947,0.4062655908441726,0.435972850678733,0.4854506060042947,0.5334665334665335,0.026706583715705175,,0.46511627906976744,212,0.5714285714285714,0.42857142857142855,16,0.0,-0.05555555555555558,212,0.0,0.0,0.5555555555555556,0.5555555555555556,16,0.0,0.05555555555555558,0.6401598401598403
step,pca1,20,4,2545,500,0.5,0.5016613407963122,0.5016613407963122,0.001661340796312194,-0.01933607828374429,0.022270679094250727,0.040506889354022,0.0,0.0,0,1009,1536,,0.3964511174098871,0.6852187028657617,0.488589994734886,0.398758755829388,0.3693815987933635,0.4911135070820945,0.398758755829388,0.3693815987933635,0.4911135070820945,0.4225774225774226,0.040506889354022,,0.46511627906976744,212,0.540983606557377,0.45901639344262296,16,0.0,0.0,212,0.0,0.0,0.5401069518716578,0.5401069518716578,16,0.0,0.11111111111111116,0.6247086247086248
step,pca1,30,3,2011,500,0.5,0.5041375520860634,0.5041375520860634,0.0041375520860633674,-0.02132250816010018,0.030188367238296997,-0.0005162690399379138,0.0,0.0,0,849,1162,,0.4221196729528712,0.8483333333333333,0.48400771181647334,0.43448216939408085,0.4357142857142858,0.4946317323813173,0.43448216939408085,0.4357142857142858,0.4946317323813173,0.35764235764235763,-0.0005162690399379138,,0.6,187,0.5696202531645569,0.43037974683544306,8,0.0,-0.11111111111111116,187,0.0,0.0,0.5590062111801242,0.5590062111801242,8,0.0,0.0,0.6247086247086248
step,pca1,30,4,2011,500,0.5,0.500818416058611,0.500818416058611,0.0008184160586109934,-0.025267633810389264,0.024089894574029738,0.022010349793404143,0.0,0.0,0,849,1162,,0.4221196729528712,0.8483333333333333,0.48400771181647334,0.4434177797940652,0.47071428571428564,0.5000496686392212,0.4434177797940652,0.47071428571428564,0.5000496686392212,0.46853146853146854,0.022010349793404143,,0.6,187,0.5696202531645569,0.43037974683544306,8,0.0,-0.11111111111111116,187,0.0,0.0,0.5732484076433121,0.5732484076433121,8,0.0,0.11111111111111116,0.6247086247086248
