outer_fold,combo,inner_delta,n_test
0,"('step', 'cos_step', 50, 3)",0.10519527986633259,41
1,"('step', 'cos_step', 50, 3)",0.09004502442002443,30
2,"('step', 'pca1', 100, 4)",0.18518518518518523,4
3,"('step', 'cos_step', 50, 3)",0.0817160087719298,32
4,"('step', 'pca1', 100, 3)",0.32407407407407407,13
