seg,proj,N,d,n_traj,n_tasks,auroc_base,auroc_chaos,auroc_full,delta_auroc,delta_ci_low,delta_ci_high,spearman_H_nfrag,frac_tasks_signif,median_effect_size,n_dropped_nan,n_fail,n_succ,base_cols,pr_auc_base,prec10_base,auroc_pooled_base,pr_auc_chaos,prec10_chaos,auroc_pooled_chaos,pr_auc_full,prec10_full,auroc_pooled_full,p_boot,spearman_H_nsteps_total,spearman_H_nsteps_prefix,frac_seen_median,n_tasks_both,majority_sign_share,share_positive,p_sign,n_tasks_3each,frac_tasks_signif_3each,median_effect_size_3each,n_tasks_both_C,frac_tasks_signif_C,median_effect_size_C,majority_sign_share_C,share_positive_C,p_sign_C,n_tasks_3each_C,frac_tasks_signif_3each_C,median_effect_size_3each_C,q_bh,q_sign,q_sign_C
all_sent,cos_step,50,3,300,226,0.5141251221896382,0.4644024834814308,0.4919095576183862,-0.022215564571252067,-0.07258923206061334,0.03462124582042121,-0.017727289315174158,0.0,0.0,0,111,189,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.3994057997818203,0.3285714285714285,0.46825396825396826,0.4018109091235148,0.4238095238095238,0.4284999284999285,0.41471894401370585,0.41904761904761906,0.4643691310357977,0.7772227772227772,-0.05888139082469011,-0.026588561802014167,0.06693440428380187,18,0.5,0.5,1.0,0,,,18,0.0,0.0,0.5,0.5,1.0,0,,,0.9900099900099899,1.0,1.0
all_sent,cos_step,50,4,300,226,0.5141251221896382,0.4451042470545866,0.4752023019425396,-0.038922820247098644,-0.09055740912318144,0.011475890746488365,-0.08442961113773208,0.0,0.5,0,111,189,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.3994057997818203,0.3285714285714285,0.46825396825396826,0.37073970844459814,0.33809523809523806,0.39553839553839554,0.37165810352174045,0.2952380952380952,0.4517374517374517,0.9370629370629371,-0.10035559557141388,-0.007024707131214786,0.06693440428380187,18,0.6,0.6,0.6072387695312499,0,,,18,0.0,0.0,0.5333333333333333,0.5333333333333333,1.0,0,,,0.9900099900099899,1.0,1.0
all_sent,cos_step,100,3,300,226,0.5297853688473383,0.47498247083985634,0.5238512887791327,-0.005934080068205616,-0.030882558364471326,0.023815337871500225,0.06581476543039065,0.0,1.0,0,111,189,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.43499107185712704,0.3666666666666666,0.5110825110825111,0.37375707356414517,0.3,0.41753658420325085,0.4275126359620257,0.30476190476190473,0.49568616235282903,0.6973026973026973,-0.05165042778058332,-0.21420297542529285,0.13386880856760375,18,0.7333333333333333,0.7333333333333333,0.11846923828124999,0,,,18,0.0,-1.0,0.7333333333333334,0.26666666666666666,0.11846923828124999,0,,,0.9900099900099899,1.0,0.8615944602272726
all_sent,cos_step,100,4,300,226,0.5297853688473383,0.48387585532746824,0.5291960840517717,-0.0005892847955666358,-0.05257753846064815,0.048302775708141475,0.052858132557082695,0.0,0.5,0,111,189,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.43499107185712704,0.3666666666666666,0.5110825110825111,0.389903577145391,0.32857142857142857,0.44210877544210875,0.4233025373420342,0.37142857142857133,0.5117498450831784,0.5374625374625375,-0.044121065939068824,-0.17031769415867826,0.13386880856760375,18,0.5294117647058824,0.5294117647058824,1.0,0,,,18,0.0,0.5,0.5294117647058824,0.5294117647058824,1.0,0,,,0.9900099900099899,1.0,1.0
all_sent,cos_step,200,3,300,226,0.5494662793347004,0.48895986300061,0.5365582945633879,-0.012907984771312497,-0.05585770449128076,0.03787067929688697,0.038780894424637384,0.0,-0.5,0,111,189,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.4220204765753735,0.37142857142857133,0.5304351971018638,0.42158191555426205,0.4238095238095238,0.44086944086944085,0.4306368234037722,0.4619047619047619,0.515086515086515,0.6903096903096904,-0.08096689773642975,-0.18097117354209263,0.2677376171352075,18,0.6,0.4,0.6072387695312499,0,,,18,0.0,0.5,0.6,0.6,0.6072387695312499,0,,,0.9900099900099899,1.0,1.0
all_sent,cos_step,200,4,300,226,0.5494662793347004,0.45403890959069226,0.5125691244239631,-0.036897154910737306,-0.07153033026378768,0.0001198824499749364,-0.03309564064175689,0.0,-0.5,0,111,189,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.4220204765753735,0.37142857142857133,0.5304351971018638,0.38109562003038666,0.33333333333333337,0.4036894036894037,0.39796559105133866,0.3047619047619048,0.4894894894894895,0.974025974025974,-0.10441466862147804,-0.12835062347953818,0.2677376171352075,18,0.5294117647058824,0.47058823529411764,1.0,0,,,18,0.0,0.5,0.5294117647058824,0.5294117647058824,1.0,0,,,0.9900099900099899,1.0,1.0
all_sent,cos_step,400,3,273,208,0.5131329034837807,0.5245214175038736,0.5183270855200679,0.005194182036287187,-0.03907360089177263,0.04977889706263002,-0.03956618132415516,0.0,0.0,0,106,167,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.4340619375023291,0.4066666666666666,0.49237374307987797,0.4689207746348821,0.48,0.4677437577674839,0.4520086308469077,0.48666666666666664,0.5103378149361654,0.4165834165834166,-0.18014795294122424,-0.24716835428163308,0.5012531328320802,17,0.5,0.5,1.0,0,,,17,0.0,0.0,0.5,0.5,1.0,0,,,0.9900099900099899,1.0,1.0
all_sent,cos_step,400,4,273,208,0.5131329034837807,0.5254335982406158,0.5142170240415854,0.001084120557804713,-0.03595607058295596,0.039098874579548124,0.003219401932089236,0.0,0.0,0,106,167,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.4340619375023291,0.4066666666666666,0.49237374307987797,0.4390388281325654,0.3866666666666666,0.44158852107106544,0.44623958678346903,0.4133333333333333,0.49621511693593945,0.5014985014985015,-0.09702495144340001,-0.19516200955479798,0.5012531328320802,17,0.5,0.5,1.0,0,,,17,0.0,0.0,0.5384615384615384,0.46153846153846156,1.0,0,,,0.9900099900099899,1.0,1.0
all_sent,cos_task,50,3,300,226,0.5141251221896382,0.5214713745507463,0.5072429607743698,-0.0068821614152684285,-0.06183730051805759,0.04533229506401082,0.07340365183075062,0.0,-0.6666666666666667,0,111,189,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.3994057997818203,0.3285714285714285,0.46825396825396826,0.42530491466951403,0.45714285714285713,0.4736403069736403,0.39159774455326507,0.24285714285714283,0.48710615377282046,0.6063936063936064,0.011721613024616015,-0.057675730259123044,0.06693440428380187,18,0.5555555555555556,0.4444444444444444,0.8145294189453125,0,,,18,0.0,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.8145294189453125,0,,,0.9900099900099899,1.0,1.0
all_sent,cos_task,50,4,300,226,0.5141251221896382,0.5451996376571928,0.516626812632755,0.0025016904431167664,-0.05874378141914712,0.055925222500044995,0.14294529013096177,0.0,-0.5,0,111,189,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.3994057997818203,0.3285714285714285,0.46825396825396826,0.41581416435838536,0.24285714285714283,0.4801944801944802,0.3960275178924155,0.2714285714285714,0.4932551599218266,0.4825174825174825,0.04946269047002739,-0.10017139648693961,0.06693440428380187,18,0.5625,0.4375,0.803619384765625,0,,,18,0.0,0.5,0.5625,0.5625,0.803619384765625,0,,,0.9900099900099899,1.0,1.0
