model_name,population,n,auroc,auroc_ci_low,auroc_ci_high,pr_auc,brier,delta_vs_len,delta_ci_low,delta_ci_high
M_len,все заявившие,2877,0.6398217044363308,0.6149493180058356,0.6627179902691374,0.5150342313586441,0.21307019263743246,0.0,0.0,0.0
M_struct,все заявившие,2877,0.6816921605224342,0.6564819610038468,0.7060985125016854,0.5543872113247421,0.20378268330782934,0.0418704560861034,0.021176123735701904,0.06266037432661263
M_struct+len,все заявившие,2877,0.6841338040630423,0.6590719715521564,0.7094467034614376,0.5611979123295704,0.203152131807842,0.044312099626711454,0.024642521724806066,0.06434902912250756
