run_id,task_id,agent_id,model_id,label,seg,proj,N,d,H,C,fisher,n_steps,n_frag,total_chars,mean_frag_len,n_tool_calls,repeat_ratio
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11292,django__django-11292,mini-swe-agent-1.0.0,gemini-2.5-pro,0,reason_sent,cos_step,50,3,0.9759668005637901,0.023603695947807455,0.024805609402019195,4,50,3061,61.22,3,0.0
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11292,django__django-11292,mini-swe-agent-1.0.0,gemini-2.5-pro,0,reason_sent,cos_step,50,4,0.9262547616716089,0.09151579687434964,0.11872602163920416,4,50,3061,61.22,3,0.0
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11292,django__django-11292,mini-swe-agent-1.0.0,gemini-2.5-pro,0,reason_sent,cos_task,50,3,0.9682130848461642,0.03049559712859349,0.02028765065189184,4,50,3061,61.22,3,0.0
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11292,django__django-11292,mini-swe-agent-1.0.0,gemini-2.5-pro,0,reason_sent,cos_task,50,4,0.9080637531041621,0.12172017083169019,0.16794905855667638,4,50,3061,61.22,3,0.0
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11292,django__django-11292,mini-swe-agent-1.0.0,gemini-2.5-pro,0,reason_sent,pca1,50,3,0.9587236099135916,0.03959737896408077,0.03705580264421902,4,50,3061,61.22,3,0.0
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11292,django__django-11292,mini-swe-agent-1.0.0,gemini-2.5-pro,0,reason_sent,pca1,50,4,0.8704761909012605,0.17667195879467523,0.3394887996750508,4,50,3061,61.22,3,0.0
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11292,django__django-11292,mini-swe-agent-1.0.0,gemini-2.5-pro,0,reason_sent,norm,50,3,0.9759668005637901,0.023603695947807455,0.024805609402019195,4,50,3061,61.22,3,0.0
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11292,django__django-11292,mini-swe-agent-1.0.0,gemini-2.5-pro,0,reason_sent,norm,50,4,0.9262547616716089,0.09151579687434964,0.11872602163920416,4,50,3061,61.22,3,0.0
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11292,django__django-11292,mini-swe-agent-1.0.0,gemini-2.5-pro,0,reason_sent,cos_step,100,3,0.9980516523313067,0.001930152918312287,0.0020433997836671255,8,100,6126,61.26,7,0.0
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11292,django__django-11292,mini-swe-agent-1.0.0,gemini-2.5-pro,0,reason_sent,cos_step,100,4,0.9868507967207749,0.016211756138036736,0.01914064213096951,8,100,6126,61.26,7,0.0
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11292,django__django-11292,mini-swe-agent-1.0.0,gemini-2.5-pro,0,reason_sent,cos_task,100,3,0.9939572283990988,0.006049567965909017,0.008283324866189615,8,100,6126,61.26,7,0.0
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11292,django__django-11292,mini-swe-agent-1.0.0,gemini-2.5-pro,0,reason_sent,cos_task,100,4,0.9681547346512089,0.04417646609655504,0.06346771501466024,8,100,6126,61.26,7,0.0
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11292,django__django-11292,mini-swe-agent-1.0.0,gemini-2.5-pro,0,reason_sent,pca1,100,3,0.9830361140846872,0.01668538499578881,0.014769138210418371,8,100,6126,61.26,7,0.0
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11292,django__django-11292,mini-swe-agent-1.0.0,gemini-2.5-pro,0,reason_sent,pca1,100,4,0.9322933216875141,0.09503707305267586,0.15999823842114824,8,100,6126,61.26,7,0.0
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11292,django__django-11292,mini-swe-agent-1.0.0,gemini-2.5-pro,0,reason_sent,norm,100,3,0.9980516523313067,0.001930152918312287,0.0020433997836671255,8,100,6126,61.26,7,0.0
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11292,django__django-11292,mini-swe-agent-1.0.0,gemini-2.5-pro,0,reason_sent,norm,100,4,0.9868507967207749,0.016211756138036736,0.01914064213096951,8,100,6126,61.26,7,0.0
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11292,django__django-11292,mini-swe-agent-1.0.0,gemini-2.5-pro,0,reason_sent,cos_step,200,3,0.9950473483252509,0.0048694026523483395,0.004084504572659949,12,200,11341,56.705,10,0.0
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11292,django__django-11292,mini-swe-agent-1.0.0,gemini-2.5-pro,0,reason_sent,cos_step,200,4,0.9904490470127841,0.012482131899770092,0.015225873622267573,12,200,11341,56.705,10,0.0
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11292,django__django-11292,mini-swe-agent-1.0.0,gemini-2.5-pro,0,reason_sent,cos_task,200,3,0.9970772963433058,0.002886986469354195,0.002771925521701763,12,200,11341,56.705,10,0.0
