seg,proj,d,N,population,n,frac_seen_median,auroc_base,auroc_chaos,auroc_full
all_sent,cos_step,3,50,все допустимые при N,300,0.06693440428380187,0.5141251221896382,0.4644024834814308,0.4919095576183862
all_sent,cos_step,3,50,фиксированная (≥400 фрагм.),273,0.06265664160401002,0.4951721897335933,0.4690383365821963,0.4850187434397961
all_sent,cos_step,3,100,все допустимые при N,300,0.13386880856760375,0.5297853688473383,0.47498247083985634,0.5238512887791327
all_sent,cos_step,3,100,фиксированная (≥400 фрагм.),273,0.12531328320802004,0.520769730594292,0.46258834407957217,0.49227820262907984
all_sent,cos_step,3,200,все допустимые при N,300,0.2677376171352075,0.5494662793347004,0.48895986300061,0.5365582945633879
all_sent,cos_step,3,200,фиксированная (≥400 фрагм.),273,0.2506265664160401,0.536043884640376,0.4642705053231369,0.5125691008147147
all_sent,cos_step,3,400,все допустимые при N,273,0.5012531328320802,0.5131329034837807,0.5245214175038736,0.5183270855200679
all_sent,cos_step,3,400,фиксированная (≥400 фрагм.),273,0.5012531328320802,0.5131329034837807,0.5245214175038736,0.5183270855200679
all_sent,cos_step,4,50,все допустимые при N,300,0.06693440428380187,0.5141251221896382,0.4451042470545866,0.4752023019425396
all_sent,cos_step,4,50,фиксированная (≥400 фрагм.),273,0.06265664160401002,0.4951721897335933,0.41866621682411154,0.43838256610186443
all_sent,cos_step,4,100,все допустимые при N,300,0.13386880856760375,0.5297853688473383,0.48387585532746824,0.5291960840517717
all_sent,cos_step,4,100,фиксированная (≥400 фрагм.),273,0.12531328320802004,0.520769730594292,0.5218123656720147,0.5256170340380868
all_sent,cos_step,4,200,все допустимые при N,300,0.2677376171352075,0.5494662793347004,0.45403890959069226,0.5125691244239631
all_sent,cos_step,4,200,фиксированная (≥400 фрагм.),273,0.2506265664160401,0.536043884640376,0.42238216624181535,0.4918508522017294
all_sent,cos_step,4,400,все допустимые при N,273,0.5012531328320802,0.5131329034837807,0.5254335982406158,0.5142170240415854
all_sent,cos_step,4,400,фиксированная (≥400 фрагм.),273,0.5012531328320802,0.5131329034837807,0.5254335982406158,0.5142170240415854
all_sent,cos_task,3,50,все допустимые при N,300,0.06693440428380187,0.5141251221896382,0.5214713745507463,0.5072429607743698
all_sent,cos_task,3,50,фиксированная (≥400 фрагм.),273,0.06265664160401002,0.4951721897335933,0.5120810216424252,0.49137751786874595
all_sent,cos_task,3,100,все допустимые при N,300,0.13386880856760375,0.5297853688473383,0.47229711926443674,0.5118561065420149
all_sent,cos_task,3,100,фиксированная (≥400 фрагм.),273,0.12531328320802004,0.520769730594292,0.4640933173389314,0.513741690408357
all_sent,cos_task,3,200,все допустимые при N,300,0.2677376171352075,0.5494662793347004,0.46288292211467086,0.5290503384561109
all_sent,cos_task,3,200,фиксированная (≥400 фрагм.),273,0.2506265664160401,0.536043884640376,0.4584175538561503,0.5143479782076273
all_sent,cos_task,3,400,все допустимые при N,273,0.5012531328320802,0.5131329034837807,0.38765781976308294,0.4840875693507273
all_sent,cos_task,3,400,фиксированная (≥400 фрагм.),273,0.5012531328320802,0.5131329034837807,0.38765781976308294,0.4840875693507273
all_sent,cos_task,4,50,все допустимые при N,300,0.06693440428380187,0.5141251221896382,0.5451996376571928,0.516626812632755
all_sent,cos_task,4,50,фиксированная (≥400 фрагм.),273,0.06265664160401002,0.4951721897335933,0.5507172489628631,0.5190213425301144
all_sent,cos_task,4,100,все допустимые при N,300,0.13386880856760375,0.5297853688473383,0.4763683218309704,0.5004730852056828
all_sent,cos_task,4,100,фиксированная (≥400 фрагм.),273,0.12531328320802004,0.520769730594292,0.4802169240765732,0.4975853451292048
all_sent,cos_task,4,200,все допустимые при N,300,0.2677376171352075,0.5494662793347004,0.46299939732028017,0.5375874620569018
all_sent,cos_task,4,200,фиксированная (≥400 фрагм.),273,0.2506265664160401,0.536043884640376,0.47770230419353227,0.5211985804968261
all_sent,cos_task,4,400,все допустимые при N,273,0.5012531328320802,0.5131329034837807,0.5047498375568551,0.5148038186634678
all_sent,cos_task,4,400,фиксированная (≥400 фрагм.),273,0.5012531328320802,0.5131329034837807,0.5047498375568551,0.5148038186634678
