seg,proj,N,d,n_traj,n_tasks,auroc_base,auroc_chaos,auroc_full,delta_auroc,delta_ci_low,delta_ci_high,spearman_H_nfrag,frac_tasks_signif,median_effect_size,n_dropped_nan,n_fail,n_succ,base_cols,pr_auc_base,prec10_base,auroc_pooled_base,pr_auc_chaos,prec10_chaos,auroc_pooled_chaos,pr_auc_full,prec10_full,auroc_pooled_full,p_boot,spearman_H_nsteps_total,spearman_H_nsteps_prefix,frac_seen_median,n_tasks_both,majority_sign_share,share_positive,p_sign,n_tasks_3each,frac_tasks_signif_3each,median_effect_size_3each,n_tasks_both_C,frac_tasks_signif_C,median_effect_size_C,majority_sign_share_C,share_positive_C,p_sign_C,n_tasks_3each_C,frac_tasks_signif_3each_C,median_effect_size_3each_C,q_bh,q_sign,q_sign_C
all_sent,cos_task,100,3,7927,500,0.5201027117067435,0.5244953370362204,0.5317031920145426,0.011600480307799144,0.001930289867789864,0.021858825545285985,0.026886067445893218,0.0,-0.125,0,2696,5231,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.3852626165928548,0.45346708064644536,0.5177205182866125,0.36949288551036735,0.37781227609266776,0.5203579422944816,0.3842564532957063,0.4307379985669931,0.5286474095596498,0.007992007992007992,0.023427194378784755,-0.00692955021596807,0.1488095238095238,335,0.6118012422360248,0.38819875776397517,7.128611579507892e-05,158,0.0,-0.08513708513708518,335,0.0,0.1272727272727272,0.61875,0.61875,2.5413330930959616e-05,158,0.0,0.06904761904761902,0.1172161172161172,0.0003485098994426081,0.00013977332012027788
all_sent,cos_task,100,4,7927,500,0.5201027117067435,0.5221275031505195,0.5287581354958233,0.008655423789079797,-0.0020107170550422732,0.019781507280350233,0.06589228479637725,0.0,-0.1428571428571429,0,2696,5231,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.3852626165928548,0.45346708064644536,0.5177205182866125,0.3731451362018729,0.4029615476474803,0.5186189938775174,0.3841079438829027,0.4420746755831543,0.5260984787675845,0.057942057942057944,0.04409679795660841,-0.004315246440108607,0.1488095238095238,335,0.617283950617284,0.38271604938271603,2.8573266979457448e-05,158,0.0,-0.125,335,0.0,0.125,0.6024464831804281,0.6024464831804281,0.0002508016017465166,158,0.0,0.12250000000000005,0.24280481423338568,0.00016762983294615034,0.001083781797883108
all_sent,cos_task,200,3,7722,500,0.5214876147952918,0.5187067217881809,0.526177911104322,0.004690296309030173,-0.005424909171276829,0.014972659574936193,0.08594108673769235,0.0,-0.07692307692307687,0,2639,5083,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.3902624890626819,0.4638523167745179,0.5171876296449757,0.36952338997555234,0.3824677662628327,0.5145884866725804,0.38882006315120565,0.4535975283413613,0.5233175516065746,0.16983016983016982,0.04812490969690994,-0.043416397208412304,0.29175799621204057,322,0.5911949685534591,0.4088050314465409,0.0013543288247205966,155,0.0,-0.07692307692307687,322,0.0,0.07692307692307687,0.5854430379746836,0.5854430379746836,0.0028104071340037534,155,0.0,0.07692307692307687,0.4080022541561003,0.004109687468117673,0.007977929928784848
all_sent,cos_task,200,4,7722,500,0.5214876147952918,0.5235712085600034,0.5292656151886876,0.007778000393395823,-0.004430660830070592,0.019523936017047886,0.13748044339718798,0.0,-0.1428571428571429,0,2639,5083,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.3902624890626819,0.4638523167745179,0.5171876296449757,0.37529471019991495,0.3861038939976321,0.5188698227088534,0.3917161281689078,0.4404412981073323,0.5253654809510366,0.0999000999000999,0.06829774895978231,-0.08000424918808072,0.29175799621204057,322,0.6178343949044586,0.3821656050955414,3.512016435695209e-05,155,0.0,-0.09090909090909094,322,0.0,0.14835164835164827,0.6246056782334385,0.6246056782334385,1.0708920637424082e-05,155,0.0,0.09090909090909083,0.30314513073133764,0.0001931609039632365,6.282566773955462e-05
all_sent,cos_task,400,3,6373,500,0.5398505176902205,0.528048653102836,0.5445601935019124,0.004709675811691905,-0.009796539409910708,0.01961199123145949,0.08221979252831108,0.0,-0.1428571428571429,0,2338,4035,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.41362855944501187,0.45035951901361165,0.532685823255242,0.406186029262943,0.4489343343709943,0.5196535765431431,0.41305501792021015,0.44410835622291395,0.5361318785689375,0.26673326673326675,0.004944970176951886,-0.09233454919224751,0.5044136191677175,288,0.5863309352517986,0.4136690647482014,0.004730989962632682,128,0.0,-0.125,288,0.0,0.1428571428571428,0.5857142857142857,0.5857142857142857,0.004883738258482804,128,0.0,0.1266025641025641,0.48901098901098905,0.010955976755570421,0.012279113335613906
all_sent,cos_task,400,4,6373,500,0.5398505176902205,0.5224942577044382,0.5372480370301087,-0.0026024806601118167,-0.018667351808348616,0.013891967240152101,0.15341941540780568,0.0,-0.1835016835016835,0,2338,4035,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.41362855944501187,0.45035951901361165,0.532685823255242,0.4091644894561773,0.4443579808337911,0.5160581651354752,0.41296561009914284,0.44265875602758953,0.5311043340827638,0.6153846153846154,0.010126244218831107,-0.17723050027771625,0.5044136191677175,288,0.6386861313868613,0.3613138686131387,5.149950011430815e-06,128,0.0,-0.10555555555555557,288,0.0,0.16666666666666674,0.6410256410256411,0.6410256410256411,3.6768964644218984e-06,128,0.0,0.09090909090909083,0.777588608574524,3.2371114357565124e-05,2.3111920633509076e-05
all_sent,norm,50,3,7973,500,0.546417914410692,0.5253644298045221,0.550412813484955,0.003994899074262981,-0.0025449795186043692,0.010428501290431812,0.010532229854067305,0.0,-0.06666666666666665,0,2709,5264,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.4054013661259768,0.45874999999999994,0.5443170196496874,0.363883931508148,0.3875,0.519650739233513,0.4089119926441892,0.475,0.5484788546789324,0.12087912087912088,-0.020667513142414766,-0.04789323187753745,0.0748502994011976,337,0.5609756097560976,0.43902439024390244,0.03112949766036733,159,0.0,-0.054545454545454564,337,0.0,0.06666666666666665,0.5749235474006116,0.5749235474006116,0.007848315921635105,159,0.0,0.05454545454545445,0.3431407302375044,0.05168671309645896,0.016845165880582665
all_sent,norm,50,4,7973,500,0.546417914410692,0.5213496423145555,0.5479336777275121,0.001515763316820129,-0.004019730656207369,0.007243297368354876,0.0007715816945282931,0.0,-0.036363636363636376,0,2709,5264,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.4054013661259768,0.45874999999999994,0.5443170196496874,0.36620530238372706,0.37249999999999994,0.514706550606388,0.4082720852721396,0.475,0.5460940313780138,0.29270729270729273,-0.029914219068744845,-0.05389338550047029,0.0748502994011976,337,0.5240963855421688,0.4759036144578313,0.4104144705567767,159,0.0,-0.04166666666666663,337,0.0,0.02564102564102555,0.5303030303030303,0.5303030303030303,0.29558901932385895,159,0.0,0.03125,0.5050635638870933,0.4947462110821418,0.3663638549366139
all_sent,norm,100,3,7927,500,0.5201027117067435,0.52143295656337,0.5291283152977216,0.009025603590978148,0.00031502950374456525,0.01722330653843685,0.006932036980572637,0.0,-0.07407407407407407,0,2696,5231,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.3852626165928548,0.45346708064644536,0.5177205182866125,0.36513948017314257,0.39552583393041957,0.5140311382666788,0.39052980324815234,0.4584746437385559,0.5267490599013981,0.022977022977022976,-0.03691992773713358,-0.06091434794535125,0.1488095238095238,335,0.5507692307692308,0.4492307692307692,0.07572937616666985,158,0.0,-0.07968253968253969,335,0.0,0.0714285714285714,0.5548780487804879,0.5548780487804879,0.05312560717784821,158,0.0,0.07968253968253969,0.16229923922231615,0.11489974314943012,0.08657506354908596
all_sent,norm,100,4,7927,500,0.5201027117067435,0.5188396251811362,0.5269350710913788,0.006832359384635334,-0.0024105408119800193,0.01578641220401148,-0.00020292838832223394,0.0,-0.09375,0,2696,5231,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.3852626165928548,0.45346708064644536,0.5177205182866125,0.36809940335703895,0.38416527346548845,0.512568660241076,0.39182735457844603,0.46860122601703685,0.5240975961044833,0.06593406593406594,-0.043572068080813535,-0.07878502366063139,0.1488095238095238,335,0.5871559633027523,0.41284403669724773,0.001911440281256736,158,0.0,-0.09375,335,0.0,0.07692307692307687,0.5753846153846154,0.5753846153846154,0.007658866715338795,158,0.0,0.10912698412698418,0.24615384615384617,0.005256460773456024,0.016845165880582665
