feature,coef_std,mean_abs_shap
phase_bigram_entropy,-0.4130412180627216,0.3150224644861944
share_before_first_edit,0.347334373685105,0.2395650215495535
n_steps,0.2930387445405354,0.2164622923309416
n_file_switches,0.2953977226435743,0.21154155771105274
n_verif_after_last_edit,0.30049193844750405,0.18165224159890234
seg_len_sent,0.3211763523632752,0.15507988051035623
n_steps_after_last_edit,-0.23544049488015875,0.14978877250998346
seg_len_steps,-0.23544049488015875,0.14978877250998346
n_verifications,0.14355825545683754,0.11108676996306761
share_edit,0.13749576789721138,0.10830366127081895
share_verify,-0.12879695101824132,0.10503776833262123
verif_after_last_edit,-0.07225369649062569,0.07213186779766512
distinct_cmd_ratio,-0.07421834563540601,0.05228232030428266
has_any_verification,-0.05669372104539739,0.047850243269283915
n_edits,0.05918072539904869,0.04089484422277816
n_files_edited,-0.056816615164597746,0.04046093925398902
n_transitions,0.044217472952216924,0.03140771476151721
share_other,-0.028253012052324777,0.02207041780039529
repeat_ratio,-0.06833676949671866,0.017910228889687314
verified_before_first_edit,-0.024043455928959262,0.004550638201781638
nonzero_rc_share,0.00038019924578276833,0.00029146949051825046
