run_id,label,seg,proj,N,lb_p,rho_with_cos_step
20250726_mini-v1.0.0_gemini-2.5-pro/sphinx-doc__sphinx-11445,0,reason_sent,cos_step,200,0.00011900014545463418,
20250726_mini-v1.0.0_gemini-2.5-pro/sphinx-doc__sphinx-11445,0,reason_sent,cos_task,200,0.00020111728014748684,0.30968393789963483
20250726_mini-v1.0.0_gemini-2.5-pro/sphinx-doc__sphinx-11445,0,reason_sent,pca1,200,0.13639010434716758,-0.2671144169412455
20250726_mini-v1.0.0_gemini-2.5-pro/sphinx-doc__sphinx-11445,0,reason_sent,norm,200,0.00012888719868249916,1.0
20250726_mini-v1.0.0_gemini-2.5-pro/sphinx-doc__sphinx-11510,1,reason_sent,cos_step,200,0.112658825362406,
20250726_mini-v1.0.0_gemini-2.5-pro/sphinx-doc__sphinx-11510,1,reason_sent,cos_task,200,0.7550289955611768,0.10148660532439871
20250726_mini-v1.0.0_gemini-2.5-pro/sphinx-doc__sphinx-11510,1,reason_sent,pca1,200,0.26211367723871803,-0.1936523285074739
20250726_mini-v1.0.0_gemini-2.5-pro/sphinx-doc__sphinx-11510,1,reason_sent,norm,200,0.2870961475495364,0.9999999999999999
20250822_mini-v1.9.1_glm-4.5/astropy__astropy-14508,0,reason_sent,cos_step,200,0.9464261599937392,
20250822_mini-v1.9.1_glm-4.5/astropy__astropy-14508,0,reason_sent,cos_task,200,0.81496060102484,-0.13119995235153434
20250822_mini-v1.9.1_glm-4.5/astropy__astropy-14508,0,reason_sent,pca1,200,0.07342919804685553,-0.17646601632282446
20250822_mini-v1.9.1_glm-4.5/astropy__astropy-14508,0,reason_sent,norm,200,0.628012309486299,0.9999984766651764
20250822_mini-v1.9.1_glm-4.5/django__django-11095,0,reason_sent,cos_step,200,0.017271266733565105,
20250822_mini-v1.9.1_glm-4.5/django__django-11095,0,reason_sent,cos_task,200,0.4882332559743142,0.2746963353917407
20250822_mini-v1.9.1_glm-4.5/django__django-11095,0,reason_sent,pca1,200,0.376577124353243,-0.028246378456243146
20250822_mini-v1.9.1_glm-4.5/django__django-11095,0,reason_sent,norm,200,0.025210938556755387,0.9998674829917465
