seg,proj,d,N,population,n,frac_seen_median,auroc_base,auroc_chaos,auroc_full
all_sent,norm,3,100,все допустимые при N,7927,0.1488095238095238,0.5201027117067435,0.52143295656337,0.5291283152977216
all_sent,norm,3,100,фиксированная (≥400 фрагм.),6373,0.12610340479192939,0.5302307842175882,0.5227162530766156,0.5352104661441535
all_sent,norm,3,200,все допустимые при N,7722,0.29175799621204057,0.5214876147952918,0.5195960744925885,0.5293046673543101
all_sent,norm,3,200,фиксированная (≥400 фрагм.),6373,0.25220680958385877,0.5342266997646736,0.525118796199174,0.5383290414652128
all_sent,norm,3,400,все допустимые при N,6373,0.5044136191677175,0.5398505176902205,0.5270922318184841,0.5421462309517463
all_sent,norm,3,400,фиксированная (≥400 фрагм.),6373,0.5044136191677175,0.5398505176902205,0.5270922318184841,0.5421462309517463
all_sent,norm,4,50,все допустимые при N,7973,0.0748502994011976,0.546417914410692,0.5213496423145555,0.5479336777275121
all_sent,norm,4,50,фиксированная (≥400 фрагм.),6373,0.06305170239596469,0.5402931344458053,0.5223588994430803,0.5401175620116557
all_sent,norm,4,100,все допустимые при N,7927,0.1488095238095238,0.5201027117067435,0.5188396251811362,0.5269350710913788
all_sent,norm,4,100,фиксированная (≥400 фрагм.),6373,0.12610340479192939,0.5302307842175882,0.5202554835442016,0.531709453798533
all_sent,norm,4,200,все допустимые при N,7722,0.29175799621204057,0.5214876147952918,0.5163993734242653,0.5257755276266854
all_sent,norm,4,200,фиксированная (≥400 фрагм.),6373,0.25220680958385877,0.5342266997646736,0.5207111160727745,0.5341772564893151
all_sent,norm,4,400,все допустимые при N,6373,0.5044136191677175,0.5398505176902205,0.5272410228155745,0.5380466886536651
all_sent,norm,4,400,фиксированная (≥400 фрагм.),6373,0.5044136191677175,0.5398505176902205,0.5272410228155745,0.5380466886536651
all_sent,pca1,3,50,все допустимые при N,7973,0.0748502994011976,0.546417914410692,0.5257687896791132,0.5492190158860294
all_sent,pca1,3,50,фиксированная (≥400 фрагм.),6373,0.06305170239596469,0.5402931344458053,0.5258749901779866,0.5435355778633904
all_sent,pca1,3,100,все допустимые при N,7927,0.1488095238095238,0.5201027117067435,0.5178989522639912,0.5215538188392108
all_sent,pca1,3,100,фиксированная (≥400 фрагм.),6373,0.12610340479192939,0.5302307842175882,0.5135793261932305,0.5304111137960268
all_sent,pca1,3,200,все допустимые при N,7722,0.29175799621204057,0.5214876147952918,0.5096820928967883,0.5212166390818365
all_sent,pca1,3,200,фиксированная (≥400 фрагм.),6373,0.25220680958385877,0.5342266997646736,0.5061380717912263,0.5309935344875295
all_sent,pca1,3,400,все допустимые при N,6373,0.5044136191677175,0.5398505176902205,0.49865808534651557,0.5372799617674502
all_sent,pca1,3,400,фиксированная (≥400 фрагм.),6373,0.5044136191677175,0.5398505176902205,0.49865808534651557,0.5372799617674502
all_sent,pca1,4,50,все допустимые при N,7973,0.0748502994011976,0.546417914410692,0.5302189168300002,0.5524077386402626
all_sent,pca1,4,50,фиксированная (≥400 фрагм.),6373,0.06305170239596469,0.5402931344458053,0.5301859112101154,0.5473193527946861
all_sent,pca1,4,100,все допустимые при N,7927,0.1488095238095238,0.5201027117067435,0.5264032359612086,0.5289738933447243
all_sent,pca1,4,100,фиксированная (≥400 фрагм.),6373,0.12610340479192939,0.5302307842175882,0.5230888822309504,0.5378053642675873
all_sent,pca1,4,200,все допустимые при N,7722,0.29175799621204057,0.5214876147952918,0.5245674654847814,0.5308890439688134
all_sent,pca1,4,200,фиксированная (≥400 фрагм.),6373,0.25220680958385877,0.5342266997646736,0.5246197446709484,0.5407031287342605
all_sent,pca1,4,400,все допустимые при N,6373,0.5044136191677175,0.5398505176902205,0.5165706352465188,0.5341565607020552
all_sent,pca1,4,400,фиксированная (≥400 фрагм.),6373,0.5044136191677175,0.5398505176902205,0.5165706352465188,0.5341565607020552
reason_sent,cos_step,3,50,все допустимые при N,7949,0.13157894736842105,0.5247988948350146,0.49804869276081637,0.5217639445816301
reason_sent,cos_step,3,50,фиксированная (≥400 фрагм.),3776,0.07047219849420927,0.5791474216761052,0.49554135534027777,0.5783636832560921
reason_sent,cos_step,3,100,все допустимые при N,7837,0.25906735751295334,0.5317415589461131,0.508502919630551,0.5270151670608894
reason_sent,cos_step,3,100,фиксированная (≥400 фрагм.),3776,0.14094439698841854,0.5877217654129868,0.5119323055341314,0.5872496437146194
reason_sent,cos_step,3,200,все допустимые при N,6673,0.4424778761061947,0.523137981098517,0.5237264824025246,0.5299456855859248
reason_sent,cos_step,3,200,фиксированная (≥400 фрагм.),3776,0.2818887939768371,0.584918252581447,0.5254218894641848,0.5888757939333074
reason_sent,cos_step,3,400,все допустимые при N,3776,0.5637775879536742,0.5824092892813019,0.5227053956268162,0.5886606611935983
reason_sent,cos_step,3,400,фиксированная (≥400 фрагм.),3776,0.5637775879536742,0.5824092892813019,0.5227053956268162,0.5886606611935983
reason_sent,cos_step,4,50,все допустимые при N,7949,0.13157894736842105,0.5247988948350146,0.4891305366361265,0.5181721832686252
reason_sent,cos_step,4,50,фиксированная (≥400 фрагм.),3776,0.07047219849420927,0.5791474216761052,0.4937961928373774,0.5761372790430646
reason_sent,cos_step,4,100,все допустимые при N,7837,0.25906735751295334,0.5317415589461131,0.5195397495111955,0.5300847552497914
reason_sent,cos_step,4,100,фиксированная (≥400 фрагм.),3776,0.14094439698841854,0.5877217654129868,0.5280717493264943,0.5879333110662416
reason_sent,cos_step,4,200,все допустимые при N,6673,0.4424778761061947,0.523137981098517,0.5366611715796918,0.5367507362868335
reason_sent,cos_step,4,200,фиксированная (≥400 фрагм.),3776,0.2818887939768371,0.584918252581447,0.5348346982682808,0.5908189380184321
reason_sent,cos_step,4,400,все допустимые при N,3776,0.5637775879536742,0.5824092892813019,0.5322340650870145,0.5895370535824742
reason_sent,cos_step,4,400,фиксированная (≥400 фрагм.),3776,0.5637775879536742,0.5824092892813019,0.5322340650870145,0.5895370535824742
