train,test,n_test,auroc_in,auroc_cross,drop,axis,model_name
все остальные,anthropic,403,0.7275902959324323,0.7224429450095742,0.005147350922858118,семейство моделей,M_struct+len
все остальные,deepseek,49,0.6196488696488696,0.6077441077441077,0.011904761904761862,семейство моделей,M_struct+len
все остальные,google,509,0.6362007909685399,0.6264672412189719,0.009733549749567971,семейство моделей,M_struct+len
все остальные,minimax,554,0.7293442153107167,0.701873722507085,0.027470492803631674,семейство моделей,M_struct+len
все остальные,mistral,585,0.7015948605027706,0.7020713326422223,-0.000476472139451678,семейство моделей,M_struct+len
все остальные,moonshot,91,0.6878373015873016,0.6932242063492062,-0.005386904761904621,семейство моделей,M_struct+len
все остальные,zhipu,686,0.6527393930876905,0.6417467458057331,0.010992647281957368,семейство моделей,M_struct+len
v1.x,v2.x,697,0.6572128582046403,0.6427622980118853,0.014450560192754924,версия агента,M_struct+len
v2.x,v1.x,2180,0.6835918730204888,0.6563288386852422,0.027263034335246683,версия агента,M_struct+len
