outer_fold,combo,inner_delta,n_test
0,"('step', 'cos_step', 200, 4)",0.11287878787878791,18
1,"('step', 'cos_step', 200, 4)",0.09872159090909083,15
2,"('step', 'cos_step', 200, 4)",0.04356060606060619,22
3,"('step', 'cos_step', 200, 4)",0.02992424242424252,24
4,"('step', 'pca1', 200, 4)",0.1861742424242424,24
